split_type,split_value,classifier,signal_family,accuracy,f1,roc_auc,positive_recall,false_positive_rate,num_points,positive_rate
family_held_out,Phi-3.5,logistic_regression,attention_only,0.6666666666666666,0.8,0.5,0.6666666666666666,0.0,3.0,1.0
family_held_out,Phi-3.5,logistic_regression,context_only,0.6666666666666666,0.8,0.5,0.6666666666666666,0.0,3.0,1.0
family_held_out,Phi-3.5,logistic_regression,context_plus_attention,0.6666666666666666,0.8,0.5,0.6666666666666666,0.0,3.0,1.0
family_held_out,Phi-3.5,logistic_regression,kv_only,1.0,1.0,0.5,1.0,0.0,3.0,1.0
family_held_out,Phi-3.5,logistic_regression,all_features,0.6666666666666666,0.8,0.5,0.6666666666666666,0.0,3.0,1.0
family_held_out,Phi-3.5,decision_tree,attention_only,0.6666666666666666,0.8,0.5,0.6666666666666666,0.0,3.0,1.0
family_held_out,Phi-3.5,decision_tree,context_only,0.6666666666666666,0.8,0.5,0.6666666666666666,0.0,3.0,1.0
family_held_out,Phi-3.5,decision_tree,context_plus_attention,0.6666666666666666,0.8,0.5,0.6666666666666666,0.0,3.0,1.0
family_held_out,Phi-3.5,decision_tree,kv_only,1.0,1.0,0.5,1.0,0.0,3.0,1.0
family_held_out,Phi-3.5,decision_tree,all_features,1.0,1.0,0.5,1.0,0.0,3.0,1.0
family_held_out,Qwen2.5,logistic_regression,attention_only,0.6666666666666666,0.8,0.7222222222222223,1.0,1.0,9.0,0.6666666666666666
family_held_out,Qwen2.5,logistic_regression,context_only,1.0,1.0,1.0,1.0,0.0,9.0,0.6666666666666666
family_held_out,Qwen2.5,logistic_regression,context_plus_attention,1.0,1.0,1.0,1.0,0.0,9.0,0.6666666666666666
family_held_out,Qwen2.5,logistic_regression,kv_only,0.8888888888888888,0.9090909090909091,1.0,0.8333333333333334,0.0,9.0,0.6666666666666666
family_held_out,Qwen2.5,logistic_regression,all_features,1.0,1.0,1.0,1.0,0.0,9.0,0.6666666666666666
family_held_out,Qwen2.5,decision_tree,attention_only,0.4444444444444444,0.5454545454545454,0.3888888888888889,0.5,0.6666666666666666,9.0,0.6666666666666666
family_held_out,Qwen2.5,decision_tree,context_only,1.0,1.0,1.0,1.0,0.0,9.0,0.6666666666666666
family_held_out,Qwen2.5,decision_tree,context_plus_attention,1.0,1.0,1.0,1.0,0.0,9.0,0.6666666666666666
family_held_out,Qwen2.5,decision_tree,kv_only,1.0,1.0,1.0,1.0,0.0,9.0,0.6666666666666666
family_held_out,Qwen2.5,decision_tree,all_features,1.0,1.0,1.0,1.0,0.0,9.0,0.6666666666666666
family_held_out,Qwen3,logistic_regression,attention_only,1.0,1.0,1.0,1.0,0.0,7.0,0.8571428571428571
family_held_out,Qwen3,logistic_regression,context_only,0.8571428571428571,0.9090909090909091,1.0,0.8333333333333334,0.0,7.0,0.8571428571428571
family_held_out,Qwen3,logistic_regression,context_plus_attention,0.8571428571428571,0.9090909090909091,1.0,0.8333333333333334,0.0,7.0,0.8571428571428571
family_held_out,Qwen3,logistic_regression,kv_only,0.8571428571428571,0.9230769230769231,1.0,1.0,1.0,7.0,0.8571428571428571
family_held_out,Qwen3,logistic_regression,all_features,0.8571428571428571,0.9230769230769231,1.0,1.0,1.0,7.0,0.8571428571428571
family_held_out,Qwen3,decision_tree,attention_only,0.8571428571428571,0.9090909090909091,0.9166666666666667,0.8333333333333334,0.0,7.0,0.8571428571428571
family_held_out,Qwen3,decision_tree,context_only,0.8571428571428571,0.9090909090909091,1.0,0.8333333333333334,0.0,7.0,0.8571428571428571
family_held_out,Qwen3,decision_tree,context_plus_attention,0.8571428571428571,0.9090909090909091,0.9166666666666667,0.8333333333333334,0.0,7.0,0.8571428571428571
family_held_out,Qwen3,decision_tree,kv_only,0.8571428571428571,0.9230769230769231,0.5,1.0,1.0,7.0,0.8571428571428571
family_held_out,Qwen3,decision_tree,all_features,0.8571428571428571,0.9230769230769231,0.5,1.0,1.0,7.0,0.8571428571428571
family_held_out,SmolLM2,logistic_regression,attention_only,0.7777777777777778,0.875,0.25,0.875,1.0,9.0,0.8888888888888888
family_held_out,SmolLM2,logistic_regression,context_only,0.7777777777777778,0.8571428571428571,1.0,0.75,0.0,9.0,0.8888888888888888
family_held_out,SmolLM2,logistic_regression,context_plus_attention,0.7777777777777778,0.8571428571428571,1.0,0.75,0.0,9.0,0.8888888888888888
family_held_out,SmolLM2,logistic_regression,kv_only,0.7777777777777778,0.8571428571428571,1.0,0.75,0.0,9.0,0.8888888888888888
family_held_out,SmolLM2,logistic_regression,all_features,0.7777777777777778,0.8571428571428571,1.0,0.75,0.0,9.0,0.8888888888888888
family_held_out,SmolLM2,decision_tree,attention_only,0.7777777777777778,0.875,0.4375,0.875,1.0,9.0,0.8888888888888888
family_held_out,SmolLM2,decision_tree,context_only,0.7777777777777778,0.8571428571428571,1.0,0.75,0.0,9.0,0.8888888888888888
family_held_out,SmolLM2,decision_tree,context_plus_attention,0.7777777777777778,0.8571428571428571,0.875,0.75,0.0,9.0,0.8888888888888888
family_held_out,SmolLM2,decision_tree,kv_only,0.7777777777777778,0.8571428571428571,0.875,0.75,0.0,9.0,0.8888888888888888
family_held_out,SmolLM2,decision_tree,all_features,0.7777777777777778,0.8571428571428571,0.875,0.75,0.0,9.0,0.8888888888888888
family_held_out,gpt2,logistic_regression,attention_only,0.6666666666666666,0.8,0.5,1.0,1.0,3.0,0.6666666666666666
family_held_out,gpt2,logistic_regression,context_only,1.0,1.0,1.0,1.0,0.0,3.0,0.6666666666666666
family_held_out,gpt2,logistic_regression,context_plus_attention,1.0,1.0,1.0,1.0,0.0,3.0,0.6666666666666666
family_held_out,gpt2,logistic_regression,kv_only,0.3333333333333333,0.0,1.0,0.0,0.0,3.0,0.6666666666666666
family_held_out,gpt2,logistic_regression,all_features,1.0,1.0,1.0,1.0,0.0,3.0,0.6666666666666666
family_held_out,gpt2,decision_tree,attention_only,0.6666666666666666,0.8,0.5,1.0,1.0,3.0,0.6666666666666666
family_held_out,gpt2,decision_tree,context_only,1.0,1.0,1.0,1.0,0.0,3.0,0.6666666666666666
family_held_out,gpt2,decision_tree,context_plus_attention,1.0,1.0,1.0,1.0,0.0,3.0,0.6666666666666666
family_held_out,gpt2,decision_tree,kv_only,0.6666666666666666,0.8,0.5,1.0,1.0,3.0,0.6666666666666666
family_held_out,gpt2,decision_tree,all_features,0.6666666666666666,0.8,0.5,1.0,1.0,3.0,0.6666666666666666
family_held_out,opt-125m,logistic_regression,attention_only,0.3333333333333333,0.0,1.0,0.0,0.0,3.0,0.6666666666666666
family_held_out,opt-125m,logistic_regression,context_only,1.0,1.0,1.0,1.0,0.0,3.0,0.6666666666666666
