model,context,batch_size,attention_share,mean_kv_bytes_est,mean_kv_bytes_per_token_est,mean_memory_pressure_proxy,online_speedup,adaptive_feature_speedup,kv_regime_speedup,oracle_speedup
gpt2,256,1,0.46148855074097883,837120.0,3072.0,0.9963426536491539,1.0,1.0,1.0,1.2694137514962391
gpt2,512,1,0.4618640894837207,1648128.0,3072.0,0.9981393980223986,1.1423818180107528,1.1412519635786793,1.0,1.2966119079208116
gpt2,768,1,0.45492843405992095,2459136.0,3072.0,0.9987522980899287,1.1595543038919014,1.1595543038919014,1.1595543038919014,1.3211632590597244
qwen2.5-1.5b-instruct-4bit,256,1,0.542260257896198,1655808.0,6144.0,0.9963020681342138,1.0,1.0,1.0,1.2747373336872065
qwen2.5-1.5b-instruct-4bit,512,1,0.5385968366941839,3259392.0,6144.0,0.9981183909060465,1.169688947644291,1.169688947644291,1.169688947644291,1.3062302559872552
qwen2.5-1.5b-instruct-4bit,768,1,0.5387785877220661,4862976.0,6144.0,0.998738127650979,1.1940245403527592,1.1940245403527592,1.1940245403527592,1.3365895216857675
qwen3-8b-4bit,256,1,0.575153984374184,4415488.0,16384.0,0.9963020681342138,1.1555078617796888,1.0,1.1555078617796888,1.276935565792697
qwen3-8b-4bit,512,1,0.5525369232600847,8691712.0,16384.0,0.9981183909060465,1.1748451536742583,1.1748451536742583,1.1748451536742583,1.308049010300924
qwen3-8b-4bit,768,1,0.5401716153398652,12967936.0,16384.0,0.998738127650979,1.1946206714662382,1.1946206714662382,1.1946206714662382,1.3368797329249138
smollm2-1.7b-instruct-4bit,256,1,0.5447319535131279,2232320.0,8192.0,0.9963426536491539,1.146329571799284,1.0,1.146329571799284,1.2752216769158145
smollm2-1.7b-instruct-4bit,512,1,0.5404433907283148,4395008.0,8192.0,0.9981393980223986,1.1709114258988191,1.1709114258988191,1.1709114258988191,1.30713437265761
smollm2-1.7b-instruct-4bit,768,1,0.566345558727903,6557696.0,8192.0,0.9987522980899287,1.2066293645004766,1.2066293645004766,1.2066293645004766,1.342658276031316
smollm2-1.7b-instruct-4bit,512,2,0.5283343911677484,8790016.0,16384.0,0.9981393980223986,1.166453204623278,1.166453204623278,1.166453204623278,1.3055752494865256
