policy_name,family,context_target,context_bucket,workload_tag,speedup_vs_gpu_only,oracle_gap_closed,oracle_regret,positive_recall,false_positive_rate,missed_positive_rate,switches_per_100,avg_consecutive_span,boundary_subset
gpu_only,gpt2,256,short,gpt2_ctx256,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
static_attention,gpt2,256,short,gpt2_ctx256,1.1211177557334981,0.5090260676583646,0.49097393234163544,0.5,0.0,0.5,0.0,16.0,1
context_threshold,gpt2,256,short,gpt2_ctx256,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
adaptive_feature,gpt2,256,short,gpt2_ctx256,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
kv_regime,gpt2,256,short,gpt2_ctx256,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
context_kv_refined,gpt2,256,short,gpt2_ctx256,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
context_kv_hysteresis,gpt2,256,short,gpt2_ctx256,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
gpu_only,gpt2,512,mid,gpt2_ctx512,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
static_attention,gpt2,512,mid,gpt2_ctx512,1.1423818180107528,0.5448345938773621,0.4551654061226379,0.5,0.0,0.5,0.0,16.0,1
context_threshold,gpt2,512,mid,gpt2_ctx512,1.1423818180107528,0.5448345938773621,0.4551654061226379,0.5,0.0,0.5,0.0,16.0,1
adaptive_feature,gpt2,512,mid,gpt2_ctx512,1.1412519635786793,0.5410462351471533,0.45895376485284667,0.46875,0.0,0.53125,12.5,5.333333333333333,1
kv_regime,gpt2,512,mid,gpt2_ctx512,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
context_kv_refined,gpt2,512,mid,gpt2_ctx512,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
context_kv_hysteresis,gpt2,512,mid,gpt2_ctx512,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
gpu_only,gpt2,768,long,gpt2_ctx768,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,0
static_attention,gpt2,768,long,gpt2_ctx768,1.1595543038919014,0.5660412256413467,0.43395877435865327,0.5,0.0,0.5,0.0,16.0,0
context_threshold,gpt2,768,long,gpt2_ctx768,1.1595543038919014,0.5660412256413467,0.43395877435865327,0.5,0.0,0.5,0.0,16.0,0
adaptive_feature,gpt2,768,long,gpt2_ctx768,1.1595543038919014,0.5660412256413467,0.43395877435865327,0.5,0.0,0.5,0.0,16.0,0
kv_regime,gpt2,768,long,gpt2_ctx768,1.1595543038919014,0.5660412256413467,0.43395877435865327,0.5,0.0,0.5,0.0,16.0,0
context_kv_refined,gpt2,768,long,gpt2_ctx768,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,0
context_kv_hysteresis,gpt2,768,long,gpt2_ctx768,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,0
gpu_only,opt-125m,256,short,opt125m_ctx256,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
static_attention,opt-125m,256,short,opt125m_ctx256,1.2498045883317133,0.8765384046593496,0.12346159534065038,0.5,0.0,0.5,0.0,16.0,1
context_threshold,opt-125m,256,short,opt125m_ctx256,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
adaptive_feature,opt-125m,256,short,opt125m_ctx256,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,1
